1133.00,2308.00,1750.00,10.80,45.60,9.10,50.80,22.50,111996400.00,187500.00
1241.00,2000.00,4646.00,10.90,58.60,10.30,63.20,15.20,52173900.00,311100.00
1159.00,564.00,2375.00,17.60,43.90,1.90,63.40,8.20,93108900.00,135900.00
1234.00,4311.00,3381.00,14.10,38.70,0.00,55.50,17.00,52236600.00,432500.00
1248.00,3542.00,3449.00,6.80,58.20,5.40,56.80,16.50,56448300.00,420100.00
1289.00,2775.00,3813.00,5.00,61.40,2.20,58.10,11.00,29617600.00,439100.00
1475.00,3559.00,2563.00,8.30,74.00,4.50,53.70,17.10,42591400.00,403700.00
1322.00,2853.00,3136.00,11.70,46.30,0.00,57.50,15.80,56645400.00,428400.00
1324.00,3744.00,3380.00,25.00,32.60,4.90,62.60,9.30,60846100.00,416900.00
1176.00,4088.00,3855.00,28.40,34.20,9.60,58.10,5.70,66425400.00,482500.00
1378.00,4515.00,4259.00,44.40,12.50,32.40,53.20,11.10,102459600.00,517700.00
1332.00,3940.00,3864.00,30.50,36.90,0.00,54.90,7.90,70600900.00,458900.00
1253.00,3307.00,5198.00,31.30,44.70,4.90,58.50,13.30,61538100.00,440900.00
1206.00,3756.00,3500.00,29.20,45.00,21.60,50.00,6.40,47553000.00,464100.00
1271.00,3941.00,3300.00,13.60,43.50,0.00,55.80,21.30,37627600.00,439500.00
1069.00,3200.00,1806.00,44.80,3.90,21.70,61.40,6.20,74966200.00,125500.00
1543.00,3704.00,3167.00,12.50,46.80,27.80,59.80,9.80,184113000.00,400400.00
1226.00,5461.00,3407.00,5.90,25.70,9.40,50.80,13.70,75695300.00,426600.00
1121.00,3787.00,3306.00,9.60,28.90,17.90,52.20,13.50,153453700.00,420100.00
999.00,1731.00,2250.00,6.40,40.80,0.00,57.00,18.30,58222300.00,218800.00
1157.00,3214.00,564.00,10.70,46.30,15.00,52.50,20.40,121569200.00,142800.00
1539.00,4644.00,3659.00,37.90,22.90,21.60,56.00,12.00,154947300.00,501700.00
1517.00,4352.00,4372.00,25.50,26.70,6.60,53.60,3.90,108459700.00,494600.00
1021.00,2640.00,3586.00,15.30,56.40,6.60,53.90,13.40,74717100.00,396200.00
1266.00,2880.00,3109.00,23.80,42.90,15.70,60.00,14.50,169200700.00,146000.00
1042.00,3191.00,707.00,26.10,33.80,25.00,48.70,8.80,111124000.00,28300.00
1375.00,4537.00,3524.00,11.10,45.60,54.10,52.70,10.50,26165800.00,453700.00
1328.00,4093.00,5152.00,9.00,53.40,21.70,51.80,12.30,89565600.00,489400.00
1390.00,4404.00,4000.00,34.10,29.50,14.40,55.10,6.10,106550200.00,515400.00
1299.00,3859.00,2702.00,50.80,8.30,36.40,46.30,9.10,133468600.00,427400.00
