7433,2.2,39.8,0,0,48.4,9.1,81.9,85554600,1356,419000
7267,2.21,54.2,0,8.3,49,4.8,82.1,229381500,1600,470700
6092,2.41,43.4,12.6,34.7,38.3,8.7,77.3,119294500,1226,392700
7757,2.25,40,5.5,3,83.1,11.4,84.8,176537400,1223,475800
5234,1.98,31.2,17.3,3.6,64,18.7,75.7,111261000,1124,373700
8326,2,55.9,0,7.7,73.7,3.4,86.4,227540400,1404,606000
7926,2.53,43.8,0,2.2,76.4,10.3,86.4,248453100,1360,491100
2870,1.56,26.7,0,6.1,75,6.7,84,340832800,1335,195500
2892,1.47,32.6,0,13.5,64.9,7.4,76.5,348482300,1110,218300
6241,2.2,26.9,0,1.3,60.6,14.8,83.6,90934700,1487,376000
6026,2.13,19.3,2.3,2.8,53.3,13.9,83.3,66014800,1575,487500
7634,2.63,22.4,4.2,3.9,67.7,13.4,80.9,112304400,1649,471100
7349,2.24,34.5,3.5,10.3,50.6,5.8,83,91659700,1570,450000
3883,1.5,16.5,0,17.3,52.3,20.7,75.6,40668900,1100,288800
4527,1.59,20.5,12.2,3.4,61.4,11.3,79.6,192317000,1053,293300
4364,1.36,27.1,0,10.8,79.4,12.4,68.2,245132700,1062,320100
4697,1.82,22.8,0,0,69.1,9.1,87.2,163508500,1182,340400
6260,2.26,20.3,1.6,14.2,48.8,13.5,85.4,209097000,1561,392600
6496,2.12,30.3,0,5.4,60.5,11,85.9,192703300,1665,449000
9912,2.24,35.5,0,0,82.8,11.7,81.7,133420600,1685,696400
8661,2.04,44.5,0.8,19.7,72.7,1.7,84.3,104207400,1799,549300
7011,2.05,39.9,0,0,70.2,10.4,87.1,92502400,1496,398700
8546,1.93,52.9,0,0,50.4,3.5,75.4,151844500,1306,598200
8063,2.15,29.4,5,3.5,43.3,15.9,79.1,162052400,1219,533200
7909,2.33,41.1,0.4,1.3,85.6,7.8,84.5,243191600,1740,498000
7792,2.25,27.3,3.7,1.3,52.7,12.9,83.9,299190800,1699,485900
6550,1.77,21.7,0,6.2,47.4,15.8,85.9,176573500,1183,372400
4974,1.68,31.1,0,0,73.9,12.3,86.9,153157500,1175,354400
4911,1.29,30.7,0,11.3,72.1,13.1,71,415356000,1085,354500
3237,1.44,16.3,0,11.9,59.8,22.8,74.1,103182000,1020,241000
3978,1.37,28,4.8,3.3,72.8,7.7,79.8,247282200,1207,321300
4696,1.2,27.5,0,0,70.6,4.7,55.5,86378600,2000,344100
5365,1.74,21.8,0,0,75.2,19.6,81.1,122488700,1379,351100
4394,1.27,31.8,0,22.6,70.1,16.4,67.8,292482600,1075,312700
4405,1.5,22.9,0,0,84.5,10.3,85.5,147617100,1035,240300
7352,1.81,34.2,0,0,65.6,10.9,80.1,288909900,1225,480800
6591,2.06,24.3,0,2.6,43.4,19.2,79.5,199550100,1573,435300
9827,1.83,35.4,0,13.2,64.9,13.2,67.5,227310000,975,588800
8829,1.73,37.9,3.1,9.7,66.1,6.6,67,250414400,1500,596100
8802,2.33,49.5,11,3.8,77.4,3.8,82.2,240900800,1863,624700
6458,2.36,47,5,2.8,77.2,12.5,82.5,255723900,1341,431100
7301,2.28,15.9,0.2,25.5,12.2,22.5,57.6,158801100,1567,525400
10000,2.3,28.8,0,15.5,24.9,14.1,74,159590500,1703,814300
5389,2.11,31.4,3.2,3.6,37.5,17.4,70.1,122032100,1641,377400
9947,1.48,42.4,0,15.5,69,6.9,75.8,269251300,1164,617000
4781,1.39,28.7,0,0,67.2,15.6,70.5,264789200,1289,364100
3813,1.53,26,3.9,9.8,76.9,8.1,80.3,427541000,1459,290500
9819,2.06,51.9,0,5.8,94.2,10.1,69.1,134259900,1688,732700
8151,2.4,41.7,6.1,5.1,75.5,8.4,73.9,127522800,1625,611700
9673,2.37,58.5,0,17.7,31.5,6.6,72.2,222047700,958,705700
6991,1.55,45.7,12.4,48.5,39.1,7,69.1,678134400,1594,500800
3392,1.48,37,8.2,0,84.1,6.6,65.8,226791400,1396,235500
3783,1.58,39.6,0,4.9,90.8,4.5,77.7,276540500,1356,265700
7060,1.86,33,0,5.3,73,12.1,84.5,364872300,1731,465700
6639,2.53,23.3,13,20.1,41.9,50.8,61.2,167476300,485,486900
6589,1.34,18.5,0,16.3,35.6,22.5,60.6,327721400,1086,364300
5447,1.33,26.4,0,9.9,22.8,16.5,72,248689400,1271,382600
6137,1.41,30.4,0,4.5,67.9,9.2,65.6,546114000,1528,541200
6851,1.75,37.2,0,4.4,41.3,6.9,58.9,311069600,1515,560400
5678,1.49,48.8,0,25.3,59.5,7.2,62.1,639684100,1556,421400
6019,1.6,39.5,0,28.4,45.1,11.6,52,172779800,1446,487000
6492,1.54,48.1,3.7,0,84.3,5.6,62.6,419187600,1732,491700
5437,1.4,40.5,7.9,6.6,75.4,7,73.2,647673400,1723,375500
7206,1.41,41.8,4.6,4.9,62.9,10.9,67.4,478252100,1835,487000
4211,1.39,32.4,0,4,77.3,15.7,72.2,353060500,1950,313800
4489,1.52,26.3,7.4,7.2,79.6,4.5,83.1,266324700,1785,334900
5689,1.3,34.1,0,0,71.8,5.3,85.8,742159000,1956,409600
6852,2.16,39.2,59.1,0,0,25.3,66.9,96234500,858,481700
4771,1.96,61.3,7.1,18.8,35,2.3,61,121320100,974,315100
5037,1.97,47.4,0,13.6,50.6,1.8,63.3,261566400,1101,322600
4924,2.13,55,11.1,23.3,0,5.9,60.1,55826100,1380,307600
4422,2.46,51.3,18.8,29.6,23.3,5.1,60.9,177147500,1027,282000
3930,2.18,48.6,3.9,11.8,22.1,2.8,62.6,224927400,1109,267800
4870,1.07,44.1,8.7,9.9,9.9,8,43.6,189678600,1300,346400
4715,2.13,62.8,0,36.5,17.3,6.5,63.6,114820700,1380,318700
4401,2.51,49.6,14.6,29.6,20.3,5.7,63.2,158866300,1038,271700
4282,2.54,57.6,11.2,22.4,9.5,13.9,58.4,159807900,1724,263100
4627,2.31,54.1,9.2,5.7,26.8,7.2,61.1,218754600,1006,293600
4510,2.15,48.9,10.8,28.6,5.2,14.5,61.4,75955800,898,308300
3772,1.86,53.9,6.9,22,22.3,6.4,63.8,168571600,886,252900
4996,2.27,52.2,3.2,27.2,30.1,5.7,56.3,132888500,995,292900
4492,2.03,49.9,23.9,13.5,4.9,5.2,63.3,124521900,962,280800
3474,2.31,44.1,26,31.1,0,19.1,53.5,78395600,962,193600
6573,2.31,59.8,7.1,39,33.1,1.4,62,186307300,872,452700
6174,1.68,66.4,21.1,8.5,10.7,4.3,61.5,299956400,959,409400
4937,3.38,56.8,7.7,32.6,14.2,11.1,66.8,116500100,1208,344600
5094,1.49,45.1,1.7,19.9,12,10.5,41.7,131751000,413,293400
3786,2.89,41.2,0,11.3,4.7,8.2,65.9,53588700,1313,297000
5647,3,52.4,0.3,34.1,13.2,11.4,57.2,125481000,1047,344800
3102,3.62,39.2,15.6,2.5,11.4,42.7,62.8,56280300,919,210000
4625,3.01,25.3,17.2,17.7,6.1,17.7,65.1,90784400,934,215900
3468,4,46,18,40,11.5,15.6,71.5,57621100,865,189300
4204,3.11,46.7,18.9,0,11.6,23.9,60.9,84781300,915,213700
4243,2.71,58.6,5.8,36.5,17.7,9.9,63.3,178370300,963,274200
5054,3.02,50.7,19.3,20.9,5.9,15.8,60.5,92666800,940,239200
4258,3.82,46.5,22.3,42.9,0,16.2,56.1,51557600,954,232700
4686,3.59,39.6,34.7,30.4,6.9,18.6,63.8,89226200,958,242700
4426,2.28,41.5,0,29.4,26.8,10.9,75.7,63449400,995,282800
3976,3.32,37,24.2,29.9,5.1,25.7,65.4,122909100,894,252800
5000,2.89,53,11.5,32.9,17,17.6,69.5,261128600,960,382400
4796,2.28,41.8,5.7,27.7,11.4,18.7,67.5,196368700,932,301300
4172,2.63,42.5,5.4,15,7.3,11.6,67.3,206957000,1056,269800
4113,2.53,39.4,30.6,11,2.8,16.1,56.5,127185900,996,241100
4464,2.76,44.9,2.7,20.9,14.1,11.4,61.4,79345000,975,270900
4403,2.41,56.2,4.6,21.3,4.6,7.1,65.7,102243700,1015,238200
3491,2.84,42.2,0,48.5,25.2,15.2,51.4,89368200,917,235300
4014,2.35,44.9,19.6,24.5,7.8,10.8,61.4,105214900,949,244700
4231,3.06,51.2,4.8,20,11.6,10.9,62.8,106237900,975,235700
3971,2.79,50.7,6.6,41.9,10.9,8.3,67.8,123273700,927,255800
4457,3.09,33.4,28,15.9,20.3,38.3,59.1,41424400,1002,244000
4023,2.71,45.9,18.4,37.5,0,19.1,62.5,82551400,921,269700
4583,2.88,44.8,14,29.5,14.4,18.9,64.5,96644900,1006,259300
4056,2.17,54.9,24.5,49.4,2.5,7,61.3,79630900,861,239300
3860,3.14,43.9,23.3,5.3,1.9,7.6,57.5,61252800,1115,301000
6095,2.7,49.2,6.2,55.2,10.5,3.2,63.1,121655600,903,364800
2370,2.16,42.3,39.1,2.8,37.4,24.8,60.5,88087300,797,158800
4528,2.81,40.3,8.6,46.8,11.8,28.7,64,102997500,920,286300
4532,3.26,46.4,20.2,42.7,3.6,16.6,67.7,79185500,1002,293700
5057,3.58,43.5,27.8,52.2,4.1,12.3,66.7,87154200,1026,263000
4394,3.04,45.8,26.7,26.7,12.8,12.8,68,91467000,955,248000
3875,2.63,34.2,13.8,36.8,6.9,14.7,69.9,88639700,957,196600
4234,3.1,40.5,10.2,26.3,3.3,18.1,57.7,147312900,1127,293600
5043,2.43,42.3,20.3,17.7,5.7,6.3,73.2,142997700,1069,255000
5036,1.76,45.8,0,55.2,18.1,7,68.9,94385900,860,371400
6050,1.82,38.9,11.1,23.5,18.5,9.8,75,61075300,885,410200
5921,2.15,56.2,0,12.8,46.2,6.9,74.5,108210000,1112,385600
4192,3.1,45.5,7.7,50.5,6.1,9.1,58.6,52820000,909,236500
4181,2.68,41.5,21.2,17.7,1.5,14.8,56.1,70909200,944,191800
2316,1.53,44.7,12.6,9.2,28.7,12.1,40.4,48860500,1434,167800
4073,3.13,49.2,4.8,17.4,14.7,10.7,61.6,103290000,929,225100
4087,2.39,48.1,15.6,0,28,14.9,67.7,125521900,1033,236300
3998,2.01,49.5,25.4,13,11.6,15.6,59,90007200,1074,228000
3991,2.71,56.3,17.2,17.2,16.6,6.3,67.2,146118900,1127,248500
4035,2.32,46.6,6.8,34.6,11.3,6.2,55.8,66371500,928,247400
4004,2.37,59,16.3,25,3.8,17.3,56.9,63818000,1004,220200
3855,2.2,53.8,6,27.7,7.1,10.7,56.1,91735600,901,234700
4262,2.51,46.7,0,50.5,10.3,11.5,65.5,42774100,833,249400
4095,2.65,49.6,4.5,32.3,21,8.3,63.4,202064600,897,238900
4171,2.62,45.8,13.5,20.4,12.4,11.7,65,94586100,933,225500
3917,3,43.7,18.9,20.5,6.6,16,59.5,122787700,947,222900
3777,2.81,35,25.3,49,0,29.8,55.7,33219600,847,206300
3952,3.61,41.9,16.1,36.2,5.8,24.2,59.2,88690600,971,222600
3700,2.23,45.3,23.6,29.3,5.2,11.8,61.2,107711400,791,229400
3923,3.12,47.9,23.5,28,1.9,13.6,52.8,71878500,903,207000
3540,2.65,35.5,16.2,39.3,10.2,22.6,55.4,84520600,875,239100
3649,3.95,38.1,12,44.4,0,24.9,61,64776700,1122,191000
3400,3.89,40.1,31.7,45,2,10.1,60.6,82569600,1026,222100
4427,3.41,42.7,38.5,13.3,3.2,10.6,60.2,46288100,946,230000
4554,3.56,42.4,34.4,27.8,0,24.1,60.9,68465800,931,193300
3846,2.89,40.7,29.4,35.1,0.9,21.4,51.3,98277800,955,241000
3754,2.53,42.1,16.1,34.8,0,21.2,61.9,31772200,881,197900
3396,3.99,42.4,28.1,33.2,6.2,28.4,54.9,40204900,1015,191000
3537,3.7,38.3,27,39.5,2.4,24.7,55.2,95205000,873,173200
3730,4.12,44.9,27.4,36.3,7.8,34.8,60.8,41907400,914,187000
3377,3.72,36.5,28.3,37.5,1.8,22.7,62.6,72278000,866,154200
3241,4.01,45.9,23.4,38.9,8.1,23.3,56.6,64799900,1057,163500
3686,2.91,46,9.1,35.7,2.7,13.1,66.4,75209400,931,208900
4517,2.77,33.2,15.9,18.2,3.4,18.7,58.2,74131900,880,198600
3500,3.6,36.7,23.4,47.4,1.1,30.5,66,31933800,888,208000
3344,3.43,42.4,8.9,27.5,0,20.4,57.4,43438700,947,202200
3522,3.12,37.9,20.6,43,0,26.6,63.8,54775100,876,227000
4845,2.55,42.1,13.9,19.9,10.1,20.1,60.1,93669000,1082,317700
4106,3.21,37.4,8.9,41.2,4.6,22.7,60,50940500,965,265500
4101,3.21,39.3,5.3,44.7,6.3,16.4,63.1,68918700,909,255900
4677,3.07,36.4,28,37.3,1.5,26.7,55.9,63457400,924,243500
4500,3.07,42.6,56.3,22.1,7.4,15.1,64.1,57425600,880,278800
4355,2.65,27.1,14.7,23.7,3.9,25.8,66.4,76593100,939,257600
4624,2.51,40.2,24,22.7,25.3,12.4,68.5,101976600,955,291200
5620,2.59,38.1,35.1,22.3,0,16.3,66.2,85655000,982,348500
6380,2.29,27.9,17.7,15.3,51.7,11.4,77.7,96103400,1170,386600
6111,2.01,41.3,5,11.9,39.1,10.9,72,99980300,1249,438000
5023,2.34,32.8,15.2,11.7,37.6,14.3,72.7,90183700,1327,371100
6146,2.14,29.6,16.8,27.3,10.6,15.8,67.2,40754000,954,325400
3982,1.99,32.6,8.7,24.1,21.7,23.9,65.6,140177700,829,320700
3667,3.12,38,22.1,30,12.9,25,63.5,63865800,899,265200
4455,3.38,34.9,10.7,28.7,4.6,25.8,61.2,64026600,939,306500
3420,3.14,38.9,25.3,35.1,12.1,42.3,52.3,46593000,946,190900
3793,2.84,33.6,9.9,70.2,3.5,24.1,65.1,68932000,1028,267000
3610,3.21,38.4,26.2,15.4,11,19.1,58.2,50495500,981,232000
3339,2.4,25.8,7.6,17.6,13.8,29.6,54.7,101872000,958,312700
3745,2.93,29,10.8,39.4,22.4,13.7,67.2,80826700,1069,274200
5077,2.16,31.8,26.7,13.5,32.8,24.7,72.5,81345900,983,313900
4325,2.37,38.5,17.8,18.1,12.5,16.9,76.9,77269500,1053,284000
4205,1.93,31.9,7,20,34.5,14.9,65.4,68912400,812,424600
6439,1.99,40,22.5,9.6,29.7,12.9,75.1,136596300,1180,464800
7917,2.14,43.6,0.7,2.1,87.3,5.3,83.3,125368400,1614,528200
4236,2.72,36.8,60.9,15.5,1.9,19.7,65.7,31712900,1017,279200
4265,2.21,24.2,15.5,21.3,24.8,16.6,71.3,37579600,973,310900
3500,3.28,39.1,22.9,36.3,6.7,29.3,65.9,51172100,1042,248200
4310,2.91,26.3,22.6,0,2.6,44.1,43.8,12206400,873,236600
4972,2.51,20.6,15.9,52.3,7.4,28.8,61.1,34693300,921,280000
4066,3.34,36.3,32.2,21.6,3.9,27.4,57.6,32310600,824,229500
4737,4.41,49.7,26.5,24.8,0,28.4,58.5,14593100,870,265500
3412,4.2,33.2,27.7,23.7,0,24,51.9,39540500,984,165600
